name,dR1,c200_ref,alpha_c,delta_chi2,at_boundary,converged
F579-V1,-0.242,9.3,-20.0,-2.0,1,0
UGC06917,-0.242,8.3,3.8,-14.5,0,1
NGC0024,-0.239,9.16,4.0,-112.9,0,1
UGC06930,-0.237,9.41,4.0,-11.5,0,1
UGC01230,-0.236,9.64,4.0,-18.5,0,1
F574-1,-0.234,7.28,4.0,-9.1,0,1
NGC0055,-0.234,4.55,3.8,-84.5,0,1
NGC6503,-0.23,13.6,4.2,-3626.4,0,1
UGC06983,-0.228,9.92,4.2,-42.9,0,1
NGC4183,-0.225,10.89,4.2,-53.7,0,1
NGC0247,-0.225,5.92,4.2,-18.7,0,1
NGC2403,-0.22,17.99,4.4,-6349.799999999998,0,1
NGC3769,-0.208,7.84,4.6,-105.0,0,1
F568-V1,-0.206,6.58,4.6,-18.2,0,1
NGC4559,-0.204,8.78,4.6,-195.9,0,1
UGC07399,-0.196,8.13,4.8,-39.4,0,1
F563-V2,-0.193,8.06,4.8,-6.0,0,1
UGC06628,-0.193,6.01,-20.0,-1.2,1,0
UGC06667,-0.19,8.83,5.0,-190.0,0,1
NGC6015,-0.179,17.52,5.4,-1254.6,0,1
UGC07151,-0.179,6.97,5.2,-8.1,0,1
UGC07524,-0.175,6.33,5.4,-25.3,0,1
UGC06923,-0.171,8.84,5.6,-4.2,0,1
F563-1,-0.168,5.36,5.6,-84.9,0,1
UGC04325,-0.164,13.94,5.8,-1.5,0,1
UGC07261,-0.145,9.65,6.6,-6.6,0,1
UGC10310,-0.138,8.93,7.0,-1.6,0,1
