data_type,z,D_ratio,bin,ell,cl_ratio_val
growth,0.0,1.0,,,
growth,0.001876172607879925,1.0004329188168175,,,
growth,0.00375234521575985,1.0008661544390753,,,
growth,0.005628517823639775,1.0012997082715311,,,
growth,0.0075046904315197,1.0017335817228028,,,
growth,0.009380863039399626,1.0021677762053158,,,
growth,0.01125703564727955,1.00260229313525,,,
growth,0.013133208255159474,1.0030371339324873,,,
growth,0.0150093808630394,1.003472300020561,,,
growth,0.016885553470919325,1.003907792826605,,,
growth,0.01876172607879925,1.004343613781305,,,
growth,0.020637898686679174,1.0047797643188499,,,
growth,0.0225140712945591,1.0052162458768834,,,
growth,0.024390243902439025,1.005653059896458,,,
growth,0.026266416510318948,1.0060902078219898,,,
growth,0.028142589118198873,1.006527691101212,,,
growth,0.0300187617260788,1.0069655111374425,,,
growth,0.03189493433395872,1.0074036664043449,,,
growth,0.03377110694183865,1.0078421330150171,,,
growth,0.03564727954971857,1.0082808983872367,,,
growth,0.0375234521575985,1.0087199551660457,,,
growth,0.039399624765478425,1.0091593047273983,,,
growth,0.04127579737335835,1.0095989486050563,,,
growth,0.043151969981238276,1.0100388883362286,,,
growth,0.0450281425891182,1.0104791254615253,,,
growth,0.04690431519699812,1.0109196615249125,,,
growth,0.04878048780487805,1.0113604980736661,,,
growth,0.05065666041275797,1.01180163665833,,,
growth,0.052532833020637895,1.0122430788326735,,,
growth,0.054409005628517824,1.01268482615365,,,
growth,0.05628517823639775,1.0131268801813582,,,
growth,0.058161350844277676,1.013569242479002,,,
growth,0.0600375234521576,1.0140119146128548,,,
growth,0.06191369606003752,1.0144548981522226,,,
growth,0.06378986866791744,1.0148981943920101,,,
growth,0.06566604127579738,1.0153417984675108,,,
growth,0.0675422138836773,1.0157856949377153,,,
growth,0.06941838649155722,1.0162298673143797,,,
growth,0.07129455909943715,1.0166743099675,,,
growth,0.07317073170731707,1.0171190245673847,,,
growth,0.075046904315197,1.0175640127874477,,,
growth,0.07692307692307693,1.0180092763041737,,,
growth,0.07879924953095685,1.0184548167970804,,,
growth,0.08067542213883677,1.0189006359486867,,,
growth,0.0825515947467167,1.0193466982056196,,,
growth,0.08442776735459662,1.0197930324154583,,,
growth,0.08630393996247655,1.02023964891678,,,
growth,0.08818011257035648,1.0206865493994128,,,
growth,0.0900562851782364,1.0211337355559862,,,
growth,0.09193245778611632,1.0215812090819036,,,
growth,0.09380863039399624,1.0220289716753188,,,
growth,0.09568480300187618,1.0224770250371102,,,
growth,0.0975609756097561,1.0229253687263877,,,
growth,0.09943714821763602,1.0233739956826533,,,
growth,0.10131332082551595,1.0238228917720613,,,
growth,0.10318949343339587,1.0242720436580894,,,
growth,0.10506566604127579,1.024721447263731,,,
growth,0.10694183864915573,1.025171104401556,,,
growth,0.10881801125703565,1.0256209601435604,,,
growth,0.11069418386491557,1.0260710589275037,,,
growth,0.1125703564727955,1.0265214151325979,,,
growth,0.11444652908067542,1.0269720305779941,,,
growth,0.11632270168855535,1.0274229070853687,,,
growth,0.11819887429643527,1.027874046478903,,,
growth,0.1200750469043152,1.0283254505852677,,,
growth,0.12195121951219512,1.028777121233607,,,
growth,0.12382739212007504,1.0292290602555236,,,
growth,0.12570356472795496,1.0296812694850683,,,
growth,0.1275797373358349,1.0301337507587287,,,
growth,0.1294559099437148,1.0305864357066346,,,
growth,0.13133208255159476,1.0310393774111855,,,
growth,0.13320825515947468,1.0314925801741501,,,
growth,0.1350844277673546,1.0319460285005007,,,
growth,0.13696060037523453,1.0323997136904328,,,
growth,0.13883677298311445,1.0328536343820038,,,
growth,0.14071294559099437,1.033307792529278,,,
growth,0.1425891181988743,1.0337621900884975,,,
growth,0.14446529080675422,1.0342168290180735,,,
growth,0.14634146341463414,1.0346716677805672,,,
growth,0.14821763602251406,1.0351266889868243,,,
growth,0.150093808630394,1.0355819557494697,,,
growth,0.15196998123827393,1.0360374700317139,,,
growth,0.15384615384615385,1.0364932337988366,,,
growth,0.15572232645403378,1.0369492490181873,,,
growth,0.1575984990619137,1.0374055176591876,,,
growth,0.15947467166979362,1.0378620416933362,,,
growth,0.16135084427767354,1.0383188200949345,,,
growth,0.16322701688555347,1.0387757422409511,,,
growth,0.1651031894934334,1.0392329183646356,,,
growth,0.1669793621013133,1.0396903365888828,,,
growth,0.16885553470919323,1.040147985188011,,,
growth,0.17073170731707318,1.040605857875858,,,
growth,0.1726078799249531,1.0410639538863928,,,
growth,0.17448405253283303,1.0415222753147924,,,
growth,0.17636022514071295,1.0419807737150122,,,
growth,0.17823639774859287,1.0424394131113541,,,
growth,0.1801125703564728,1.0428982824161126,,,
growth,0.18198874296435272,1.0433573837278902,,,
growth,0.18386491557223264,1.0438167191469463,,,
growth,0.18574108818011256,1.044276290775213,,,
growth,0.18761726078799248,1.044736100716312,,,
growth,0.1894934333958724,1.045196111985908,,,
growth,0.19136960600375236,1.045656254345364,,,
growth,0.19324577861163228,1.046116639510736,,,
growth,0.1951219512195122,1.0465772695885944,,,
growth,0.19699812382739212,1.0470381453035302,,,
growth,0.19887429643527205,1.0474992634095637,,,
growth,0.20075046904315197,1.0479606151954703,,,
growth,0.2026266416510319,1.0484220854958215,,,
growth,0.2045028142589118,1.0488836988674226,,,
growth,0.20637898686679174,1.0493455257227227,,,
growth,0.20825515947467166,1.0498075682912977,,,
growth,0.21013133208255158,1.0502698288039203,,,
growth,0.21200750469043153,1.0507323094925876,,,
growth,0.21388367729831145,1.0511949599531851,,,
growth,0.21575984990619138,1.051657706021231,,,
growth,0.2176360225140713,1.0521206770707912,,,
growth,0.21951219512195122,1.05258387533559,,,
growth,0.22138836772983114,1.0530473030506213,,,
growth,0.22326454033771106,1.0535109624521874,,,
growth,0.225140712945591,1.053974800785944,,,
growth,0.2270168855534709,1.0544387383506872,,,
growth,0.22889305816135083,1.054902912402391,,,
growth,0.23076923076923078,1.0553673224359308,,,
growth,0.2326454033771107,1.0558319636489477,,,
growth,0.23452157598499063,1.0562968276761797,,,
growth,0.23639774859287055,1.05676178865928,,,
growth,0.23827392120075047,1.0572268586515474,,,
growth,0.2401500938086304,1.0576921364483916,,,
growth,0.24202626641651032,1.0581576244073794,,,
growth,0.24390243902439024,1.0586233248868366,,,
growth,0.24577861163227016,1.0590892357560344,,,
growth,0.24765478424015008,1.0595551462242387,,,
growth,0.24953095684803,1.0600212743352524,,,
growth,0.25140712945590993,1.0604876224476012,,,
growth,0.25328330206378985,1.0609541929206865,,,
growth,0.2551594746716698,1.0614209881148446,,,
growth,0.2570356472795497,1.061887849908951,,,
growth,0.2589118198874296,1.0623548686965973,,,
growth,0.2607879924953096,1.0628221173175039,,,
growth,0.2626641651031895,1.0632895981323662,,,
growth,0.26454033771106944,1.0637573121256125,,,
growth,0.26641651031894936,1.0642251220340058,,,
growth,0.2682926829268293,1.0646930272156265,,,
growth,0.2701688555347092,1.0651611358923656,,,
growth,0.27204502814258913,1.065629448595976,,,
growth,0.27392120075046905,1.066097967617813,,,
growth,0.275797373358349,1.066566552785459,,,
growth,0.2776735459662289,1.0670352283317648,,,
growth,0.2795497185741088,1.0675041156368668,,,
growth,0.28142589118198874,1.0679732171756575,,,
growth,0.28330206378986866,1.068442535423524,,,
growth,0.2851782363977486,1.0689118864186287,,,
growth,0.2870544090056285,1.0693813727404897,,,
growth,0.28893058161350843,1.0698510811984108,,,
growth,0.29080675422138835,1.0703210142667414,,,
growth,0.2926829268292683,1.0707911744205552,,,
growth,0.2945590994371482,1.071261295715492,,,
growth,0.2964352720450281,1.0717316354160678,,,
growth,0.29831144465290804,1.07220220242638,,,
growth,0.300187617260788,1.0726729919256344,,,
growth,0.30206378986866794,1.0731438908198963,,,
growth,0.30393996247654786,1.073614795597156,,,
growth,0.3058161350844278,1.0740859048875728,,,
growth,0.3076923076923077,1.0745572211421222,,,
growth,0.30956848030018763,1.0750287469425408,,,
growth,0.31144465290806755,1.0755002239363332,,,
growth,0.3133208255159475,1.0759718636492637,,,
growth,0.3151969981238274,1.0764437186496887,,,
growth,0.3170731707317073,1.0769157915167529,,,
growth,0.31894934333958724,1.0773879474157488,,,
growth,0.32082551594746717,1.077860143281077,,,
growth,0.3227016885553471,1.0783325627393652,,,
growth,0.324577861163227,1.0788052083675204,,,
growth,0.32645403377110693,1.0792780455637205,,,
growth,0.32833020637898686,1.0797508232177147,,,
growth,0.3302063789868668,1.080223831279739,,,
growth,0.3320825515947467,1.0806970671523883,,,
growth,0.3339587242026266,1.0811705275971084,,,
growth,0.33583489681050654,1.0816438938302275,,,
growth,0.33771106941838647,1.082117424781789,,,
growth,0.3395872420262664,1.0825911646704,,,
growth,0.34146341463414637,1.083065116170472,,,
growth,0.3433395872420263,1.0835390205376132,,,
growth,0.3452157598499062,1.0840130424561532,,,
