name,model,Ydisk,e_Ydisk,Ybul,e_Ybul,Dist,e_Dist,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,logM200,e_logM200,alpha,e_alpha,chi2_red,has_finite_halo,has_finite_chi2
D512-2,NFW-LCDM,0.49,0.12,0.0,0.0,11.05,3.55,51.1,9.2,47.16,4.8,8.43,2.26,7.66,2.19,-2.36,0.4,10.52,0.13,0.0,0.0,,1,0
DDO064,NFW-LCDM,0.5,0.12,0.0,0.0,7.0,1.32,60.1,4.7,47.77,3.4,7.88,1.83,8.3,2.01,-2.43,0.33,10.54,0.09,0.0,0.0,1.05,1,1
UGCA281,NFW-LCDM,0.5,0.11,0.0,0.0,5.63,0.27,66.8,3.0,47.92,2.78,7.42,0.9,8.85,1.2,-2.49,0.19,10.54,0.08,0.0,0.0,1.46,1,1
NGC4068,NFW-LCDM,0.44,0.11,0.0,0.0,4.32,0.22,37.5,3.8,48.73,2.92,6.63,1.38,10.07,2.18,-2.61,0.3,10.57,0.08,0.0,0.0,10.89,1,1
DDO154,NFW-LCDM,0.33,0.05,0.0,0.0,4.24,0.19,70.0,2.6,49.18,1.63,5.83,0.39,11.55,0.87,-2.74,0.11,10.58,0.04,0.0,0.0,16.57,1,1
NGC2366,NFW-LCDM,0.31,0.05,0.0,0.0,3.42,0.16,75.1,4.0,49.9,2.39,5.58,0.54,12.25,1.31,-2.78,0.16,10.6,0.06,0.0,0.0,3.91,1,1
UGC07608,NFW-LCDM,0.51,0.13,0.0,0.0,8.01,2.16,29.2,5.0,50.9,4.93,8.36,2.13,8.34,2.27,-2.37,0.38,10.62,0.13,0.0,0.0,1.94,1,1
UGC08550,NFW-LCDM,0.6,0.16,0.0,0.0,7.08,1.19,89.8,1.8,51.13,3.78,9.3,2.3,7.53,1.94,-2.26,0.36,10.63,0.1,0.0,0.0,1.53,1,1
UGC09992,NFW-LCDM,0.51,0.13,0.0,0.0,9.97,3.17,20.8,5.0,51.22,5.69,9.3,2.59,7.55,2.27,-2.26,0.42,10.63,0.14,0.0,0.0,,1,0
UGC02455,NFW-LCDM,0.34,0.08,0.0,0.0,2.26,0.7,49.7,5.1,51.67,4.31,11.47,3.21,6.17,1.8,-2.03,0.4,10.64,0.11,0.0,0.0,10.42,1,1
UGCA442,NFW-LCDM,0.61,0.14,0.0,0.0,4.31,0.21,70.5,5.4,51.99,2.43,6.92,0.75,10.3,1.22,-2.56,0.17,10.65,0.06,0.0,0.0,7.38,1,1
UGC08837,NFW-LCDM,0.38,0.08,0.0,0.0,6.99,0.35,78.6,5.0,52.17,2.83,3.64,0.47,19.64,2.76,-3.2,0.2,10.66,0.07,0.0,0.0,10.79,1,1
DDO170,NFW-LCDM,0.5,0.12,0.0,0.0,12.09,2.56,66.0,6.2,52.59,3.53,7.51,1.68,9.59,2.24,-2.48,0.32,10.67,0.09,0.0,0.0,4.44,1,1
DDO168,NFW-LCDM,0.56,0.12,0.0,0.0,4.11,0.21,61.2,4.8,53.33,2.87,7.39,0.85,9.88,1.26,-2.5,0.18,10.68,0.07,0.0,0.0,23.93,1,1
D631-7,NFW-LCDM,0.39,0.07,0.0,0.0,7.62,0.18,57.9,2.7,54.53,2.56,5.59,0.48,13.35,1.31,-2.78,0.14,10.71,0.06,0.0,0.0,12.21,1,1
UGC05829,NFW-LCDM,0.51,0.12,0.0,0.0,7.57,2.16,35.5,5.9,54.54,5.43,6.83,1.64,10.94,2.84,-2.58,0.37,10.71,0.13,0.0,0.0,0.6,1,1
UGC07125,NFW-LCDM,0.49,0.12,0.0,0.0,9.02,1.86,89.8,1.8,54.54,3.3,9.62,2.23,7.76,1.86,-2.22,0.33,10.71,0.08,0.0,0.0,0.76,1,1
UGC00731,NFW-LCDM,0.55,0.13,0.0,0.0,13.58,2.15,57.4,2.8,55.16,2.7,9.37,1.37,8.06,1.24,-2.25,0.21,10.73,0.06,0.0,0.0,0.54,1,1
UGC01281,NFW-LCDM,0.55,0.12,0.0,0.0,5.38,0.24,90.0,0.6,55.82,2.96,6.28,0.62,12.18,1.37,-2.66,0.16,10.74,0.07,0.0,0.0,1.88,1,1
UGC08490,NFW-LCDM,0.48,0.17,0.0,0.0,5.06,0.48,47.1,2.7,55.8,3.37,18.39,3.48,4.16,0.83,-1.52,0.27,10.74,0.08,0.0,0.0,0.29,1,1
UGC05716,NFW-LCDM,0.45,0.1,0.0,0.0,21.87,4.21,56.7,5.4,56.51,4.11,8.72,1.29,8.87,1.46,-2.32,0.24,10.76,0.09,0.0,0.0,2.49,1,1
UGC07603,NFW-LCDM,0.46,0.1,0.0,0.0,5.54,0.94,78.6,3.0,56.78,3.51,10.02,2.13,7.76,1.72,-2.18,0.3,10.77,0.08,0.0,0.0,2.36,1,1
UGC00891,NFW-LCDM,0.58,0.13,0.0,0.0,7.8,1.66,65.6,4.3,57.55,3.69,7.6,1.84,10.37,2.6,-2.47,0.34,10.78,0.08,0.0,0.0,,1,0
UGC04305,NFW-LCDM,0.53,0.15,0.0,0.0,3.46,0.17,18.5,2.0,57.89,3.68,12.05,2.98,6.58,1.68,-1.98,0.35,10.79,0.08,0.0,0.0,2.22,1,1
UGC05721,NFW-LCDM,0.47,0.11,0.0,0.0,8.84,1.29,60.1,4.5,57.8,3.69,15.56,3.37,5.09,1.15,-1.7,0.31,10.79,0.08,0.0,0.0,1.37,1,1
F563-V1,NFW-LCDM,0.47,0.12,0.0,0.0,41.44,13.93,28.8,10.0,58.74,7.68,6.86,1.99,11.73,3.74,-2.57,0.46,10.81,0.17,0.0,0.0,2.21,1,1
NGC1705,NFW-LCDM,0.82,0.23,0.0,0.0,5.97,0.28,83.9,5.8,58.92,4.03,14.57,2.69,5.54,1.09,-1.77,0.27,10.81,0.09,0.0,0.0,1.33,1,1
F565-V2,NFW-LCDM,0.54,0.13,0.0,0.0,54.6,8.65,66.9,7.4,59.27,3.96,8.65,1.8,9.39,2.06,-2.33,0.3,10.82,0.09,0.0,0.0,3.6,1,1
NGC2915,NFW-LCDM,0.44,0.09,0.0,0.0,4.09,0.2,58.4,3.4,59.08,2.78,15.19,1.96,5.33,0.73,-1.73,0.19,10.82,0.06,0.0,0.0,1.05,1,1
UGC05414,NFW-LCDM,0.47,0.11,0.0,0.0,8.37,1.58,55.2,2.9,60.26,4.04,7.3,1.73,11.31,2.78,-2.51,0.34,10.84,0.09,0.0,0.0,10.59,1,1
UGC11820,NFW-LCDM,0.58,0.13,0.0,0.0,12.82,2.98,58.7,6.6,60.16,4.68,6.09,1.14,13.54,2.74,-2.69,0.29,10.84,0.1,0.0,0.0,2.63,1,1
UGC12632,NFW-LCDM,0.48,0.12,0.0,0.0,8.58,1.74,44.9,2.8,59.97,3.99,9.57,1.94,8.59,1.84,-2.23,0.3,10.84,0.09,0.0,0.0,0.45,1,1
DDO161,NFW-LCDM,0.47,0.11,0.0,0.0,4.78,0.9,81.1,5.2,61.54,2.97,6.24,1.5,13.5,3.32,-2.67,0.33,10.87,0.06,0.0,0.0,1.99,1,1
UGC08286,NFW-LCDM,0.62,0.21,0.0,0.0,6.58,0.21,89.7,1.8,61.36,2.97,13.86,1.69,6.06,0.79,-1.83,0.18,10.87,0.06,0.0,0.0,3.02,1,1
UGC02023,NFW-LCDM,0.49,0.12,0.0,0.0,9.53,3.08,15.2,4.0,61.9,7.45,8.59,2.3,9.87,2.9,-2.34,0.42,10.88,0.16,0.0,0.0,,1,0
NGC4214,NFW-LCDM,0.54,0.12,0.0,0.0,2.88,0.14,18.7,1.9,62.61,3.94,8.98,2.29,9.55,2.51,-2.29,0.36,10.89,0.08,0.0,0.0,1.01,1,1
UGC06446,NFW-LCDM,0.51,0.13,0.0,0.0,13.56,2.34,50.9,2.8,62.64,3.98,11.52,2.29,7.45,1.55,-2.03,0.29,10.89,0.08,0.0,0.0,0.36,1,1
UGC06818,NFW-LCDM,0.41,0.09,0.0,0.0,15.99,2.16,74.8,3.0,62.69,3.75,6.89,1.24,12.46,2.37,-2.57,0.26,10.89,0.08,0.0,0.0,9.52,1,1
UGC07690,NFW-LCDM,0.67,0.14,0.0,0.0,8.63,1.67,40.4,4.4,62.23,4.57,7.08,1.86,12.04,3.29,-2.54,0.38,10.89,0.1,0.0,0.0,3.5,1,1
UGC04499,NFW-LCDM,0.47,0.11,0.0,0.0,11.33,2.19,50.5,2.8,63.39,4.19,8.25,1.86,10.52,2.47,-2.38,0.32,10.91,0.09,0.0,0.0,1.84,1,1
F583-4,NFW-LCDM,0.49,0.12,0.0,0.0,48.39,9.44,53.1,7.6,64.24,5.17,7.68,1.76,11.45,2.79,-2.46,0.34,10.93,0.1,0.0,0.0,0.34,1,1
UGC02259,NFW-LCDM,0.43,0.11,0.0,0.0,12.54,2.2,38.0,2.5,64.41,4.3,15.99,2.76,5.52,1.02,-1.67,0.26,10.93,0.09,0.0,0.0,2.44,1,1
UGC10310,NFW-LCDM,0.51,0.13,0.0,0.0,15.15,3.61,32.1,4.2,66.49,6.08,8.93,2.17,10.2,2.65,-2.3,0.36,10.97,0.12,0.0,0.0,1.63,1,1
UGC12732,NFW-LCDM,0.5,0.12,0.0,0.0,13.41,2.9,43.2,3.9,67.0,5.41,7.38,1.31,12.43,2.43,-2.5,0.28,10.98,0.11,0.0,0.0,0.26,1,1
F571-V1,NFW-LCDM,0.5,0.12,0.0,0.0,80.18,7.95,30.8,3.2,67.49,4.61,7.54,1.81,12.26,3.06,-2.48,0.34,10.99,0.09,0.0,0.0,1.39,1,1
UGC07261,NFW-LCDM,0.52,0.13,0.0,0.0,14.2,3.47,28.3,4.8,67.63,6.6,9.65,2.59,9.59,2.73,-2.22,0.4,10.99,0.13,0.0,0.0,0.87,1,1
F567-2,NFW-LCDM,0.48,0.13,0.0,0.0,78.73,11.78,13.4,2.0,67.75,5.36,8.94,2.31,10.38,2.81,-2.3,0.37,11.0,0.1,0.0,0.0,,1,0
UGC00191,NFW-LCDM,0.58,0.15,0.0,0.0,17.34,3.46,42.3,3.5,67.79,5.42,9.74,1.93,9.54,2.04,-2.21,0.3,11.0,0.1,0.0,0.0,6.09,1,1
F583-1,NFW-LCDM,0.59,0.14,0.0,0.0,39.61,6.23,66.8,4.4,68.88,4.1,6.01,1.08,15.7,2.98,-2.71,0.26,11.02,0.08,0.0,0.0,2.23,1,1
