name,model,Ydisk,e_Ydisk,Ybul,e_Ybul,Dist,e_Dist,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,logM200,e_logM200,alpha,e_alpha,chi2_red,has_finite_halo,has_finite_chi2
NGC5585,NFW-LCDM,0.21,0.04,0.0,0.0,8.44,1.6,53.4,1.9,82.77,4.03,6.2,1.45,18.29,4.36,-2.68,0.32,11.26,0.06,0.0,0.0,6.94,1,1
F574-1,NFW-LCDM,0.54,0.13,0.0,0.0,97.27,9.0,68.6,7.5,83.56,5.59,7.98,1.24,14.35,2.42,-2.42,0.24,11.27,0.09,0.0,0.0,2.21,1,1
NGC0055,NFW-LCDM,0.36,0.06,0.0,0.0,2.15,0.11,78.0,2.9,83.92,4.19,4.55,0.46,25.26,2.85,-2.98,0.16,11.27,0.07,0.0,0.0,4.35,1,1
NGC4389,NFW-LCDM,0.32,0.07,0.0,0.0,13.59,2.23,46.0,4.0,83.98,6.66,7.09,1.64,16.23,3.96,-2.54,0.34,11.28,0.1,0.0,0.0,26.19,1,1
UGC01230,NFW-LCDM,0.52,0.13,0.0,0.0,56.4,9.94,21.6,2.3,84.14,8.29,9.47,1.99,12.17,2.82,-2.24,0.33,11.28,0.13,0.0,0.0,1.7,1,1
UGC11557,NFW-LCDM,0.47,0.12,0.0,0.0,19.62,6.16,24.7,4.8,84.17,13.14,6.92,1.74,16.66,4.92,-2.56,0.44,11.28,0.2,0.0,0.0,2.06,1,1
UGC06930,NFW-LCDM,0.5,0.13,0.0,0.0,18.36,2.32,31.3,2.8,84.82,7.04,9.07,2.04,12.81,3.07,-2.28,0.33,11.29,0.11,0.0,0.0,0.54,1,1
F568-1,NFW-LCDM,0.56,0.14,0.0,0.0,93.88,9.19,33.6,3.0,85.65,6.88,8.23,1.54,14.25,2.9,-2.38,0.29,11.3,0.1,0.0,0.0,1.57,1,1
NGC0024,NFW-LCDM,1.18,0.21,0.0,0.0,7.62,0.34,65.8,2.8,85.54,6.47,9.16,2.64,12.79,3.81,-2.27,0.41,11.3,0.1,0.0,0.0,0.66,1,1
UGC06917,NFW-LCDM,0.51,0.1,0.0,0.0,19.04,2.14,56.4,1.9,86.95,5.49,8.79,1.57,13.55,2.56,-2.32,0.26,11.32,0.08,0.0,0.0,1.5,1,1
F579-V1,NFW-LCDM,0.47,0.12,0.0,0.0,93.24,8.67,24.9,2.6,87.43,7.07,13.91,2.96,8.61,1.96,-1.82,0.32,11.33,0.11,0.0,0.0,0.91,1,1
F568-3,NFW-LCDM,0.55,0.13,0.0,0.0,80.04,8.08,47.2,5.3,87.91,8.0,3.86,0.68,31.23,6.2,-3.14,0.29,11.34,0.12,0.0,0.0,4.99,1,1
NGC0247,NFW-LCDM,0.66,0.12,0.0,0.0,3.74,0.18,74.5,2.9,90.75,4.26,5.92,0.55,20.98,2.19,-2.72,0.15,11.38,0.06,0.0,0.0,2.03,1,1
NGC2403,NFW-LCDM,0.39,0.04,0.0,0.0,2.83,0.16,57.0,2.9,91.68,3.23,17.99,1.04,6.98,0.47,-1.54,0.1,11.39,0.05,0.0,0.0,9.09,1,1
NGC3769,NFW-LCDM,0.41,0.07,0.0,0.0,17.72,2.03,69.9,2.0,93.79,5.28,9.26,1.85,13.87,2.88,-2.26,0.28,11.42,0.07,0.0,0.0,1.06,1,1
NGC4559,NFW-LCDM,0.43,0.08,0.0,0.0,8.12,1.33,67.0,1.0,94.26,5.37,8.78,2.11,14.71,3.63,-2.32,0.34,11.43,0.07,0.0,0.0,0.3,1,1
NGC6015,NFW-LCDM,0.55,0.09,0.0,0.0,15.92,2.22,59.3,2.0,97.13,3.51,17.52,2.6,7.6,1.16,-1.57,0.21,11.47,0.05,0.0,0.0,8.89,1,1
UGC00128,NFW-LCDM,0.53,0.11,0.0,0.0,62.55,8.03,61.7,7.1,97.95,7.39,8.07,0.77,16.62,2.02,-2.4,0.19,11.48,0.1,0.0,0.0,3.71,1,1
ESO116-G012,NFW-LCDM,0.39,0.07,0.0,0.0,18.54,2.67,75.0,2.9,99.57,5.81,6.74,1.26,20.24,3.96,-2.59,0.27,11.5,0.08,0.0,0.0,3.82,1,1
UGC03580,NFW-LCDM,0.68,0.12,0.28,0.05,11.11,2.03,63.8,4.1,99.71,6.44,11.53,2.0,11.85,2.2,-2.03,0.26,11.5,0.08,0.0,0.0,2.36,1,1
NGC4085,NFW-LCDM,0.39,0.07,0.0,0.0,17.62,2.02,82.2,2.0,100.4,8.36,9.01,1.89,15.26,3.45,-2.29,0.32,11.51,0.11,0.0,0.0,15.12,1,1
NGC3972,NFW-LCDM,0.55,0.1,0.0,0.0,19.53,2.03,77.1,1.0,105.53,9.21,8.24,1.52,17.53,3.58,-2.38,0.29,11.57,0.11,0.0,0.0,2.94,1,1
NGC1003,NFW-LCDM,0.66,0.1,0.0,0.0,10.61,1.66,68.6,4.9,106.38,6.03,4.66,0.89,31.27,6.23,-2.96,0.28,11.58,0.07,0.0,0.0,2.54,1,1
NGC4010,NFW-LCDM,0.46,0.08,0.0,0.0,18.59,2.06,89.1,0.8,107.15,9.2,7.04,1.29,20.85,4.23,-2.55,0.29,11.59,0.11,0.0,0.0,4.56,1,1
NGC2903,NFW-LCDM,0.27,0.05,0.0,0.0,6.72,1.01,64.9,3.0,111.41,4.83,24.98,3.75,6.11,0.96,-1.17,0.21,11.64,0.06,0.0,0.0,6.54,1,1
NGC3198,NFW-LCDM,0.46,0.05,0.0,0.0,13.97,1.22,72.9,2.9,111.11,2.58,9.96,1.06,15.29,1.67,-2.18,0.15,11.64,0.03,0.0,0.0,1.46,1,1
NGC4100,NFW-LCDM,0.57,0.1,0.0,0.0,19.26,1.96,73.1,2.0,113.52,7.37,11.43,2.86,13.6,3.52,-2.04,0.35,11.67,0.08,0.0,0.0,1.29,1,1
NGC3877,NFW-LCDM,0.32,0.06,0.0,0.0,17.09,1.98,76.0,1.0,114.84,8.65,13.53,2.45,11.62,2.28,-1.85,0.28,11.68,0.1,0.0,0.0,6.44,1,1
UGC05986,NFW-LCDM,0.49,0.08,0.0,0.0,14.28,1.76,89.8,1.8,115.68,8.99,5.29,0.95,29.96,5.87,-2.84,0.28,11.69,0.1,0.0,0.0,7.1,1,1
NGC3949,NFW-LCDM,0.46,0.07,0.0,0.0,18.06,2.0,54.9,2.0,116.31,15.87,8.31,2.05,19.17,5.41,-2.37,0.41,11.7,0.18,0.0,0.0,1.38,1,1
NGC1090,NFW-LCDM,0.54,0.1,0.0,0.0,32.52,4.89,63.9,2.9,117.06,6.85,9.11,2.14,17.61,4.27,-2.28,0.33,11.71,0.08,0.0,0.0,2.77,1,1
NGC5055,NFW-LCDM,0.26,0.02,0.0,0.0,10.06,0.3,62.0,4.7,118.4,4.81,12.2,1.03,13.29,1.25,-1.97,0.13,11.72,0.05,0.0,0.0,2.54,1,1
NGC5371,NFW-LCDM,0.26,0.05,0.0,0.0,37.08,5.56,52.4,1.9,120.81,4.97,28.09,3.35,5.89,0.74,-1.04,0.17,11.75,0.05,0.0,0.0,5.03,1,1
NGC3917,NFW-LCDM,0.76,0.12,0.0,0.0,19.4,1.93,79.5,2.0,121.49,11.29,4.87,0.91,34.16,7.15,-2.92,0.3,11.76,0.12,0.0,0.0,4.0,1,1
NGC4138,NFW-LCDM,0.62,0.12,0.7,0.17,18.71,1.96,53.7,2.8,125.53,16.35,7.17,1.89,24.0,7.05,-2.53,0.42,11.8,0.17,0.0,0.0,7.83,1,1
NGC6946,NFW-LCDM,0.5,0.07,0.53,0.07,5.23,0.76,38.1,1.9,125.12,12.61,8.43,1.83,20.34,4.86,-2.36,0.34,11.8,0.13,0.0,0.0,1.7,1,1
NGC0289,NFW-LCDM,0.53,0.1,0.0,0.0,21.53,3.27,48.1,4.1,126.55,10.15,6.96,1.32,24.9,5.13,-2.56,0.29,11.81,0.1,0.0,0.0,2.06,1,1
NGC2683,NFW-LCDM,0.66,0.07,0.67,0.16,9.81,0.47,80.6,4.6,126.88,10.91,6.93,2.15,25.09,8.06,-2.56,0.44,11.81,0.11,0.0,0.0,2.66,1,1
UGC03546,NFW-LCDM,0.59,0.12,0.47,0.08,25.63,3.54,55.1,4.4,130.97,11.35,11.8,2.65,15.2,3.65,-2.0,0.34,11.85,0.11,0.0,0.0,1.03,1,1
UGC06973,NFW-LCDM,0.21,0.04,0.48,0.1,14.67,1.97,69.7,3.2,130.04,23.06,17.02,4.01,10.47,3.09,-1.6,0.45,11.85,0.23,0.0,0.0,3.82,1,1
NGC5033,NFW-LCDM,0.35,0.07,0.39,0.07,16.81,2.31,66.1,1.0,133.17,3.84,18.05,2.79,10.1,1.59,-1.54,0.21,11.88,0.04,0.0,0.0,3.44,1,1
NGC5907,NFW-LCDM,0.3,0.05,0.0,0.0,16.99,0.86,88.0,1.6,134.01,1.65,21.83,2.42,8.41,0.94,-1.33,0.15,11.88,0.02,0.0,0.0,5.52,1,1
NGC4051,NFW-LCDM,0.47,0.09,0.0,0.0,16.3,1.98,47.9,2.9,135.73,22.18,6.84,1.89,27.2,8.73,-2.58,0.48,11.9,0.21,0.0,0.0,3.53,1,1
NGC0891,NFW-LCDM,0.25,0.03,0.54,0.07,9.54,0.48,89.9,0.6,137.81,6.55,16.73,2.47,11.29,1.75,-1.62,0.21,11.92,0.06,0.0,0.0,4.39,1,1
NGC3726,NFW-LCDM,0.49,0.08,0.0,0.0,16.07,1.84,52.6,2.0,139.04,16.43,5.69,1.48,33.49,9.56,-2.76,0.41,11.93,0.15,0.0,0.0,3.27,1,1
NGC4088,NFW-LCDM,0.39,0.06,0.0,0.0,15.59,1.85,68.9,2.0,138.89,18.69,6.4,1.67,29.74,8.73,-2.64,0.43,11.93,0.18,0.0,0.0,0.66,1,1
NGC3893,NFW-LCDM,0.46,0.07,0.0,0.0,18.95,1.99,49.3,1.9,140.33,17.52,9.12,2.31,21.08,5.96,-2.28,0.41,11.94,0.16,0.0,0.0,1.74,1,1
UGC02916,NFW-LCDM,0.5,0.12,0.5,0.07,61.63,7.11,48.0,4.1,140.21,11.62,14.16,1.86,13.56,2.1,-1.8,0.23,11.94,0.11,0.0,0.0,11.4,1,1
IC4202,NFW-LCDM,0.67,0.1,0.14,0.02,67.51,8.03,89.9,0.6,140.8,4.86,24.25,2.48,7.95,0.86,-1.21,0.15,11.95,0.04,0.0,0.0,20.56,1,1
NGC2998,NFW-LCDM,0.55,0.13,0.0,0.0,67.04,7.8,58.5,2.0,146.17,9.44,8.79,2.92,22.77,7.69,-2.31,0.46,12.0,0.08,0.0,0.0,3.53,1,1
UGC08699,NFW-LCDM,0.74,0.13,0.59,0.08,42.48,5.3,75.6,7.6,145.94,16.91,6.6,1.51,30.31,7.78,-2.61,0.37,12.0,0.15,0.0,0.0,0.72,1,1
NGC7814,NFW-LCDM,0.65,0.17,0.57,0.05,14.76,0.63,89.8,0.6,151.15,14.19,12.38,2.35,16.72,3.54,-1.95,0.3,12.04,0.12,0.0,0.0,0.7,1,1
F571-8,NFW-LCDM,0.2,0.03,0.0,0.0,53.84,8.15,82.6,5.4,152.15,17.67,7.17,1.74,29.05,7.81,-2.53,0.39,12.05,0.15,0.0,0.0,9.6,1,1
UGC05253,NFW-LCDM,0.28,0.05,0.75,0.13,19.53,3.09,35.9,3.1,155.28,13.17,17.76,2.38,11.98,1.9,-1.56,0.24,12.08,0.11,0.0,0.0,2.5,1,1
