name,Areq_true,absAreq_true,sign_true_pm1,sign_pred_pm1,sign_match,p_pred_pos_loo,p_pred_neg_loo,Areq_pred_two_stage,absAreq_pred_two_stage,err_two_stage,abs_err_two_stage,Areq_pred_oracle_sign,absAreq_pred_oracle_sign,err_oracle_sign,abs_err_oracle_sign,interior_active,at_lower_bound,at_upper_bound,Type,Dist,L36,logL36,MHI,logMHI,RHI,Vflat,Qual,n_points_used,s_inner,delta_R1,logM200
UGCA444,-2.000000000000002,2.000000000000002,-1,1,0,0.8123599175548629,0.18764008244513708,1.4095501576081142,1.4095501576081142,3.409550157608116,3.409550157608116,-2.0983941353370117,2.0983941353370117,-0.09839413533700947,0.09839413533700947,0,0,1,10.0,0.98,0.012,-1.9208187539523751,0.067,-1.1739251972991736,2.08,37.0,2.0,36.0,0.3621621621621621,-0.0006297790889632219,10.06
KK98-251,-2.0000000000000067,2.0000000000000067,-1,-1,1,0.22992831010203474,0.7700716898979653,-1.6264053848240496,1.6264053848240496,0.37359461517595705,0.37359461517595705,-1.6264053848240496,1.6264053848240496,0.37359461517595705,0.37359461517595705,0,0,1,10.0,6.8,0.085,-1.0705810742857071,0.115,-0.9393021596463883,2.9,33.7,2.0,15.0,0.3649851632047478,-0.006956912999538299,10.35
DDO064,1.2625000000000002,1.2625000000000002,1,-1,0,0.1049544494839651,0.8950455505160348,-2.1236240451214456,2.1236240451214456,-3.386124045121446,3.386124045121446,1.0977519605041253,1.0977519605041253,-0.1647480394958749,0.1647480394958749,1,0,0,10.0,6.8,0.157,-0.8041003475907662,0.211,-0.6757175447023074,3.49,46.1,1.0,14.0,0.30151843817787416,-0.023733661375545608,10.54
UGCA442,1.9625000000000024,1.9625000000000024,1,1,1,0.7178424278568803,0.28215757214311965,1.052999205292009,1.052999205292009,-0.9095007947079934,0.9095007947079934,1.052999205292009,1.052999205292009,-0.9095007947079934,0.9095007947079934,1,0,0,9.0,4.35,0.14,-0.8538719643217619,0.263,-0.5800442515102421,4.37,56.4,1.0,8.0,0.25177304964539005,-0.04196568675075777,10.65
DDO168,-0.9250000000000012,0.9250000000000012,-1,-1,1,0.36958000589075113,0.6304199941092489,-1.1296734897414016,1.1296734897414016,-0.20467348974140043,0.20467348974140043,-1.1296734897414016,1.1296734897414016,-0.20467348974140043,0.20467348974140043,1,0,0,10.0,4.25,0.191,-0.7189666327522725,0.413,-0.384049948343599,4.3,53.4,2.0,10.0,0.3595505617977528,-0.047643267111271155,10.68
D631-7,0.08750000000000055,0.08750000000000055,1,1,1,0.9401237946062734,0.05987620539372662,1.4351893827145672,1.4351893827145672,1.3476893827145666,1.3476893827145666,1.4351893827145672,1.4351893827145672,1.3476893827145666,1.3476893827145666,1,0,0,10.0,7.72,0.196,-0.707743928643524,0.29,-0.5376020021010439,0.0,57.7,1.0,16.0,0.1457538994800693,-0.05512606498438256,10.71
UGC01281,0.7249999999999992,0.7249999999999992,1,1,1,0.7808600318353066,0.2191399681646934,1.2174019864387096,1.2174019864387096,0.49240198643871036,0.49240198643871036,1.2174019864387096,1.2174019864387096,0.49240198643871036,0.49240198643871036,1,0,0,8.0,5.27,0.353,-0.4522252946121775,0.294,-0.5316526695878427,5.26,55.2,1.0,25.0,0.3115942028985507,-0.06299904908863589,10.74
UGC07603,1.8125000000000004,1.8125000000000004,1,1,1,0.9239085209924108,0.07609147900758917,1.0545685750111848,1.0545685750111848,-0.7579314249888156,0.7579314249888156,1.0545685750111848,1.0545685750111848,-0.7579314249888156,0.7579314249888156,1,0,0,7.0,4.7,0.376,-0.42481215507233894,0.258,-0.5883802940367698,4.37,61.6,1.0,12.0,0.3181818181818182,-0.07087203319288925,10.77
UGC05721,1.3749999999999998,1.3749999999999998,1,-1,0,0.36342775254385784,0.6365722474561422,-0.8159076351923695,0.8159076351923695,-2.190907635192369,2.190907635192369,0.9301698295762186,0.9301698295762186,-0.44483017042378115,0.44483017042378115,1,0,0,7.0,6.18,0.531,-0.2749054789185309,0.562,-0.2502636844309389,6.74,79.7,1.0,23.0,0.3450439146800502,-0.07628973933673017,10.79
NGC2915,0.5124999999999993,0.5124999999999993,1,1,1,0.9663604229026234,0.03363957709737664,1.1594063426978016,1.1594063426978016,0.6469063426978023,0.6469063426978023,1.1594063426978016,1.1594063426978016,0.6469063426978023,0.6469063426978023,1,0,0,11.0,4.06,0.641,-0.19314197048118256,0.508,-0.29413628771608075,7.16,83.5,2.0,30.0,0.16167664670658682,-0.08582760599722244,10.82
