logM200,log10c_ref,c_ref,inside_support_effective_R1,ratio_bpb_effective_R1,delta_bpb_effective_R1,inside_support_effective_R2pi,ratio_bpb_effective_R2pi,delta_bpb_effective_R2pi
10.02,0.7120910651445711,5.153366917535605,1,0.9996019816031779,-0.0003980183968220752,1,0.9999999999999999,-1.1102230246251565e-16
10.034979079497907,0.7173209940469412,5.215800769086565,1,0.9995583156314604,-0.000441684368539641,1,0.9999999999999998,-2.220446049250313e-16
10.049958158995816,0.7224952695901266,5.27831457519635,1,0.9994484196496196,-0.0005515803503803873,1,0.9999999999999998,-2.220446049250313e-16
10.064937238493723,0.7276138917741259,5.340893177312755,1,0.9993317731979002,-0.0006682268020997695,1,0.9999999999999998,-2.220446049250313e-16
10.079916317991632,0.7326768605989404,5.403521211133509,1,0.999215126746181,-0.0007848732538190406,1,0.9999999999999998,-2.220446049250313e-16
10.09489539748954,0.7376841760645689,5.466183112088359,1,0.9990984802944617,-0.0009015197055383117,1,0.9999999999999999,-1.1102230246251565e-16
10.109874476987446,0.7426358381710118,5.52886312101494,1,0.9989818338427423,-0.0010181661572576939,1,0.9999999999999999,-1.1102230246251565e-16
10.124853556485355,0.74753184691827,5.59154529002618,1,0.998865187391023,-0.001134812608976965,1,0.9999999999999999,-1.1102230246251565e-16
10.139832635983263,0.7523722023063422,5.6542134885669215,1,0.9987485409393038,-0.0012514590606962361,1,1.0,0.0
10.154811715481172,0.7571569043352293,5.716851409657409,1,0.9985236192423432,-0.00147638075765677,1,1.0,0.0
10.169790794979079,0.7618859530049306,5.779442576320681,1,0.9982510151517144,-0.0017489848482855619,1,1.0,0.0
10.184769874476988,0.7665593483154469,5.841970348191215,1,0.9979784110610856,-0.0020215889389143538,1,1.0,0.0
10.199748953974895,0.7711770902667774,5.904417928301487,1,0.9977058069704569,-0.0022941930295431456,1,0.9999999999999999,-1.1102230246251565e-16
10.214728033472802,0.7757391788589222,5.9667683700433685,1,0.9974332028798281,-0.0025667971201719375,1,0.9999999999999999,-1.1102230246251565e-16
10.229707112970711,0.7802456140918823,6.029004584300717,1,0.9971605987891993,-0.0028394012108007294,1,0.9999999999999999,-1.1102230246251565e-16
10.244686192468619,0.7846963959656563,6.09110934674948,1,0.9968879946985705,-0.0031120053014295213,1,0.9999999999999998,-2.220446049250313e-16
10.259665271966528,0.7890915244802457,6.153065305321622,1,0.9964732518872297,-0.003526748112770317,1,0.9999999999999998,-2.220446049250313e-16
10.274644351464435,0.7934309996356486,6.2148549878285,1,0.9959051522447373,-0.004094847755262698,1,0.9999999999999998,-2.220446049250313e-16
